Data modified,jessicasmith,2024-5-18 0:14:36,9012345678,5263789418,As per the Customer request.
Data retrieved,jessicasmith,2024-5-18 0:14:54,,,
Data retrieved,mattbrown,2024-5-18 0:17:24,,,
Data retrieved,,2024-5-18 0:17:45,,,As per the Customer Request
Data modified,mattbrown,2024-5-18 0:18:58,matt@gmail.com,mattbrown@gmail.com,As Per Customer Request
Data modified,mattbrown,2024-5-18 0:19:37,mattbrown@gmail.com,matt@gmail.com,As per customer request
Data deleted,ommprakashsahu,2024-5-18 0:21:47,,,
Data deleted,ommprakashsahu,2024-5-18 0:22:3,,,Data deleted as per customer request
New user inserted,ommprakashsahu,2024-5-18 0:24:36,,,
Data deleted,ommprakashsahu,2024-5-18 0:25:24,,,As per customer request
New user inserted,ommprakashsahu,2024-5-18 0:29:38,,,
Data modified,akashbarik,2024-5-18 0:30:42,PasswordAkash123,akash@123,Request by customer
Data retrieved,laurenjones,2024-5-18 0:32:38,,,
Data retrieved,ommprakashsahu,2024-5-18 0:32:38,,,
Data retrieved,,2024-5-18 0:33:21,,,s per needed
Data retrieved,laurenjones,2024-5-18 0:38:7,,,As per need
Data retrieved,laurenjones,2024-5-18 0:41:30,,,As per needs
Data retrieved,ommprakashsahu,2024-5-18 0:41:37,,,As per needs
Data modified,laurenjones,2024-5-18 0:44:4,8144219523,8956231746,As per customer request
Data retrieved,calebthomas,2024-5-18 0:45:23,,,Not matching
Data retrieved,juliettegreen,2024-5-18 0:46:9,,,Sorry for the mis prevention. As per the customer request
Data retrieved,evaellis,2024-5-18 0:46:29,,,Again multiple accounts from same mob
Data retrieved,evaellis,2024-5-18 0:47:29,,,As per needed by customer
Data retrieved,calebthomas,2024-5-18 0:48:13,,,As per need
Data retrieved,juliettegreen,2024-5-18 0:48:21,,,As per need
Data retrieved,evaellis,2024-5-18 0:50:39,,,A per need. Remark : Remove all accounts
Data modified,emilycollins,2024-5-18 0:54:51,9136803570,9876583917,As Per customer Request
Data deleted,ommprakashsahu,2024-5-18 0:56:14,,,As Per Customer Request
New user inserted,ommprakashsahu,2024-5-18 0:57:0,,,
Data retrieved,ommprakashsahu,2024-5-18 0:57:24,,,As Per Customer Request
Data modified,andrewdavis,2024-5-18 1:1:27,andrew@gmail.com,andrewdavis@gmail.com,As per customer request
Data modified,andrewdavis,2024-5-18 1:2:14,andrewdavis@gmail.com,andrew@gmail.com,As Per Customer Request
Data modified,justinwilson,2024-5-18 1:4:28,justin@gmail.com,juatinwilson@gmail.com,Requested by Customer
Data modified,justinwilson,2024-5-18 1:5:14,juatinwilson@gmail.com,justin@gmail.com,Customer Request
New user inserted,jeffbejos,2024-5-18 14:48:11,,,
Data retrieved,jeffbejos,2024-5-18 14:48:32,,,As per Customer Request
New complaint added,ommprakashsahu,2024-5-18 15:0:11,,CMP225351727,A per user request over Phone call
Complaint viewed,ommprakashsahu,2024-5-18 15:1:36,User is unable to login to his/her account.,CMP225351727,As per need
Data modified,ommprakashsahu,2024-5-18 15:2:34,opsommprakash@gmail.com,opsommmprakash@gmail.com,As per request bu customer
New user inserted,sdsa,2024-5-18 15:3:1,,,
Data deleted,sdsa,2024-5-18 15:3:51,,,Incorrect Details Recieved
Data modified,ommprakashsahu,2024-5-18 15:4:59,opsommmprakash@gmail.com,opsommprakash@gmail.com,As per user request
New complaint added,jeffbejos,2024-5-18 15:6:6,,CMP936854925,As per verification in System Settings of the Adminstartion
Complaint viewed,jeffbejos,2024-5-18 15:7:0,Fake Account Created in the name of another user.,CMP936854925,Complaint Solved
New complaint added,akashbarik,2024-5-18 15:10:0,,CMP266931147,As per user request over Phone Call
Complaint viewed,akashbarik,2024-5-18 15:11:16,Login Error Found by the user. Entering the correct username and password still unable to login to his/her account. ,CMP266931147,Still not solved after being 7 days late. User asking to solve it ASAP. 
Complaint viewed,akashbarik,2024-5-18 15:14:51,Login Error Found by the user. Entering the correct username and password still unable to login to his/her account. ,CMP266931147,Complaint Solved
Data deleted,jeffbejos,2024-5-18 15:16:4,,,As per request by customer
New user inserted,jeffbejos,2024-5-18 15:17:3,,,
New user inserted,laurencebishnoi,2024-5-19 12:5:33,,,
Data retrieved,ommprakashsahu,2024-5-19 12:40:33,,,As per user request
Complaint closed,ommprakashsahu,2024-5-19 20:28:16,,CMP225351727,
Complaint viewed,ommprakashsahu,2024-5-19 20:32:43,User is unable to login to his/her account.,CMP225351727,CMP225351727
New complaint added,ryanmiller,2024-5-19 20:34:3,,CMP168842074,As per conv. over a Phone Call
